Closest approaches at EDDYY(3) (lat: 37.374903, long: -122.119028, elevation: 206.5), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
EDDYY(3)	42.4	36.6	42.3	40.5	45.7	8.0	5.2	3.4	2.7	2.2	1.9	0.7	0.4	0.2	0.2	0.1	0.2	7.3	4.5	3.1	2.3	2.0	1.7	12.0	7.5	4.8	3.7	3.1	2.3	12.0	8.2	5.5	4.5	3.8	3.4
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a7ef40 (0)	Flight ID: FDX1800	07/04/18 00:08:24	3.98	4.13	1530688105.0	37.430175	-122.139322	0.27	90.01	6123	246	-931	73	00:08:44	6.322766e+03
ICAO: a44588 (3)	Flight ID: UAL1118	07/04/18 20:09:51	0.07	1.13	1530760191.2	37.375963	-122.119119	0.14	90.12	6161	289	-1737	344	20:09:56	3.235339e+06
ICAO: a56dcf (0)	Flight ID: UAL1729	07/04/18 00:29:12	2.87	3.79	1530689352.7	37.412659	-122.097317	-0.40	81.64	13250	422	1741	105	00:29:30	7.247539e+03
ICAO: aa2ba2 (1)	Flight ID: UAL587	07/04/18 18:46:52	2.76	2.93	1530755212.1	37.409665	-122.143776	0.48	90.04	5379	241	-1708	64	18:47:05	7.035877e+04
ICAO: 71bc23 (0)	Flight ID: AAR286	07/04/18 00:34:05	0.05	1.14	1530689645.5	37.375663	-122.118948	0.25	90.08	6225	274	-1424	343	00:34:10	3.318734e+06
ICAO: adc5ff (0)	Flight ID: JBU333	07/04/18 00:39:02	4.45	4.51	1530689942.7	37.438477	-122.132146	-2.35	70.05	4225	206	-2745	130	00:39:23	3.604959e+03
ICAO: acddbe (0)	Flight ID: ASA1941	07/04/18 00:49:13	1.78	1.95	1530690553.5	37.382071	-122.15011	0.04	90.08	4439	206	-1592	15	00:49:22	6.534508e+05
ICAO: 71be10 (0)	Flight ID: KAL213	07/04/18 01:09:22	0.40	1.18	1530691762.7	37.380432	-122.121102	-0.35	72.17	6075	278	-487	342	01:09:28	2.955289e+06
ICAO: a83782 (0)	Flight ID: UAL1197	07/04/18 01:18:17	3.75	4.54	1530692297.5	37.427442	-122.101559	0.35	89.98	13669	417	1246	106	01:18:38	1.700087e+03
ICAO: aa8a09 (0)	Flight ID: Other	07/04/18 04:19:24	3.75	3.90	1530703164.7	37.427208	-122.137577	-0.30	84.96	5825	266	-858	72	04:19:43	9.155876e+03
ICAO: aacd96 (0)	Flight ID: UAL1639	07/04/18 04:57:28	4.40	4.53	1530705448.8	37.435913	-122.142198	-0.04	89.61	5775	260	-1839	72	04:57:50	2.787620e+03
ICAO: a8d4f6 (0)	Flight ID: UAL1724	07/04/18 05:00:21	3.82	3.96	1530705621.4	37.427881	-122.13912	0.25	90.03	5655	270	-1664	73	05:00:39	8.055510e+03
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:50:41	1.58	1.90	1530730241.4	37.395692	-122.13089	-0.41	81.77	5825	204	-456	54	11:50:50	7.323313e+05
ICAO: aa8882 (0)	Flight ID: UAL396	07/04/18 05:17:19	0.98	1.47	1530706639.0	37.388895	-122.1165	-0.33	79.31	6000	250	0	81	05:17:25	1.616894e+06
ICAO: a1cac9 (0)	Flight ID: UAL955	07/04/18 05:19:22	2.60	2.82	1530706762.5	37.410212	-122.102729	0.28	90.00	6000	248	82	110	05:19:35	8.518476e+04
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:22:59	1.25	1.59	1530706979.2	37.39234	-122.125397	-0.25	83.11	5350	234	-960	84	05:23:06	1.307374e+06
ICAO: aa56f8 (2)	Flight ID: UAL447	07/04/18 12:54:54	0.29	1.23	1530734094.2	37.378876	-122.120634	-0.33	78.65	6500	256	-255	342	12:54:59	2.860294e+06
