Closest approaches at NARWL (lat: 37.274781, long: -122.079306, elevation: 778.0), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
NARWL	37.5	32.0	38.2	37.0	39.7	9.2	5.2	3.4	2.6	2.1	1.8	0.7	0.4	0.2	0.2	0.2	0.2	10.0	5.6	4.1	3.0	2.2	2.1	12.7	7.1	4.6	3.7	3.1	2.5	13.3	7.5	4.8	3.7	2.9	2.3
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a44588 (2)	Flight ID: UAL1679	07/04/18 09:03:05	3.39	4.33	1530720185.7	37.277161	-122.14097	0.00	90.00	15000	399	2240	128	09:03:26	2.636416e+03
ICAO: a44588 (3)	Flight ID: UAL1118	07/04/18 20:08:37	0.30	1.38	1530760117.0	37.278946	-122.080896	-0.19	81.58	7875	296	-1282	344	20:08:43	1.701540e+06
ICAO: 71bc23 (0)	Flight ID: AAR286	07/04/18 00:32:44	0.04	1.37	1530689564.0	37.275336	-122.07945	0.07	90.16	8017	284	-564	344	00:32:50	1.799344e+06
ICAO: 71be10 (0)	Flight ID: KAL213	07/04/18 01:08:04	0.35	1.40	1530691684.4	37.279637	-122.081153	-0.32	80.05	7950	291	-1326	343	01:08:10	1.629131e+06
ICAO: a7d278 (0)	Flight ID: TAI561	07/04/18 01:58:35	2.26	3.51	1530694715.2	37.274094	-122.120459	0.00	90.00	14975	392	1728	130	01:58:51	1.330865e+04
ICAO: aa56f8 (2)	Flight ID: UAL447	07/04/18 12:53:25	0.06	1.40	1530734005.8	37.275576	-122.07971	0.20	90.23	8160	269	-1101	344	12:53:32	1.778030e+06
ICAO: a8d4cc (4)	Flight ID: UAL370	07/04/18 16:34:11	0.13	1.38	1530747251.4	37.276518	-122.080138	-0.07	87.92	8050	247	-1156	343	16:34:17	2.010190e+06
ICAO: a11cc1 (0)	Flight ID: GTI1920	07/04/18 06:01:20	0.39	1.44	1530709280.9	37.280196	-122.081272	-0.43	76.73	8100	291	416	344	06:01:27	1.487591e+06
ICAO: ac66d5 (1)	Flight ID: Other	07/04/18 16:15:36	4.88	5.12	1530746136.9	37.217786	-122.131814	0.07	90.07	8965	251	-768	308	16:16:00	9.243576e+02
ICAO: a0d344 (2)	Flight ID: SKW5655	07/04/18 10:37:01	2.51	2.83	1530725821.4	37.277792	-122.12483	0.35	90.17	7689	247	-1432	3	10:37:14	8.357999e+04
ICAO: a04424 (0)	Flight ID: SKW5316	07/04/18 06:15:10	4.49	4.64	1530710110.9	37.220097	-122.123307	-1.46	76.94	7000	243	93	299	06:15:32	2.403428e+03
ICAO: a04424 (2)	Flight ID: SKW5446	07/04/18 10:38:48	3.09	3.32	1530725928.0	37.279816	-122.135127	-0.42	83.17	7175	263	-2274	358	10:39:03	2.938463e+04
ICAO: a04424 (6)	Flight ID: SKW5557	07/04/18 18:37:40	3.44	3.73	1530754660.3	37.227593	-122.099566	0.42	90.11	8356	265	-1365	289	18:37:57	1.282459e+04
ICAO: a13c43 (1)	Flight ID: SKW3371	07/04/18 09:41:51	1.27	1.81	1530722511.2	37.264098	-122.098125	0.42	90.31	7554	288	-2096	322	09:41:59	6.426579e+05
ICAO: a4460e (0)	Flight ID: UAL2743	07/04/18 06:30:21	0.04	1.38	1530711022.0	37.27528	-122.079743	0.13	90.16	8056	283	-968	344	06:30:28	1.774951e+06
ICAO: acd262 (2)	Flight ID: Other	07/04/18 11:09:03	2.47	2.82	1530727743.5	37.282384	-122.123128	-0.18	86.52	8050	276	-877	3	11:09:16	7.611687e+04
ICAO: a555c5 (3)	Flight ID: N443AC	07/04/18 18:18:05	4.27	4.34	1530753485.7	37.299316	-122.008024	-0.06	89.81	4800	79	71	158	18:18:26	1.322473e+04
ICAO: a555c5 (4)	Flight ID: N443AC	07/04/18 19:55:46	2.74	2.82	1530759346.3	37.287048	-122.031984	-0.07	89.27	4300	113	-59	344	19:55:59	1.892801e+05
ICAO: a0fe7a (0)	Flight ID: SKW5667	07/04/18 06:40:31	0.38	1.40	1530711631.1	37.279953	-122.081422	-0.31	79.04	7925	295	-1600	344	06:40:37	1.597705e+06
ICAO: a923a9 (0)	Flight ID: UAL471	07/04/18 06:48:42	0.37	1.40	1530712122.1	37.279861	-122.081188	-0.35	79.09	7900	296	-1472	344	06:48:48	1.620148e+06
ICAO: ab6542 (1)	Flight ID: UAL334	07/04/18 10:54:20	0.09	1.33	1530726860.3	37.275834	-122.078495	0.41	90.22	7804	277	90	345	10:54:26	2.022320e+06
ICAO: c05f0c (1)	Flight ID: JZA112	07/04/18 11:33:59	2.09	2.29	1530729239.9	37.302795	-122.065001	-0.38	82.68	5725	265	-960	103	11:34:10	2.430273e+05
ICAO: aaf27c (2)	Flight ID: UAL16B0	07/04/18 14:13:29	0.10	1.35	1530738809.0	37.276103	-122.079822	0.49	90.40	7876	251	-897	343	14:13:35	2.156592e+06
ICAO: aaf27c (4)	Flight ID: Other	07/04/18 19:17:37	0.38	1.41	1530757057.8	37.28001	-122.081511	-0.54	77.54	7950	286	64	344	19:17:44	1.624405e+06
ICAO: a84abd (0)	Flight ID: ASA1593	07/04/18 07:04:46	0.04	1.37	1530713086.7	37.275365	-122.07966	0.36	90.18	7996	286	-902	344	07:04:53	1.804879e+06
ICAO: a77a4f (0)	Flight ID: HAL45	07/04/18 07:12:42	2.57	3.37	1530713562.2	37.237647	-122.082108	-0.56	80.73	12275	361	2545	266	07:12:58	1.933341e+04
ICAO: a600e4 (0)	Flight ID: Other	07/04/18 07:10:29	0.05	1.31	1530713429.5	37.275494	-122.079676	0.17	90.24	7683	283	-1344	344	07:10:35	2.105468e+06
ICAO: aa630b (1)	Flight ID: TAI564	07/04/18 19:19:32	0.01	1.36	1530757172.1	37.274836	-122.079083	0.43	90.00	7950	280	46	344	19:19:38	1.880875e+06
ICAO: a1c229 (0)	Flight ID: CPZ6034	07/04/18 07:20:23	0.08	1.37	1530714023.9	37.275864	-122.079524	0.19	90.31	7977	267	-1460	344	07:20:30	1.942528e+06
ICAO: a1c229 (2)	Flight ID: CPZ6045	07/04/18 16:22:40	4.56	4.77	1530746560.9	37.223868	-122.132024	-0.13	88.60	8275	282	-1601	308	16:23:03	1.598594e+03
ICAO: ab7e23 (1)	Flight ID: N84GN	07/04/18 11:52:41	0.76	0.90	1530730361.8	37.265259	-122.086097	-0.50	76.91	3350	146	0	136	11:52:46	1.189856e+07
ICAO: aa7b78 (3)	Flight ID: SWA1687	07/04/18 21:03:24	3.20	3.41	1530763404.8	37.232567	-122.103324	0.46	89.99	6936	247	-29	114	21:03:40	2.609873e+04
ICAO: a6ac39 (0)	Flight ID: ASA1921	07/04/18 07:25:44	0.01	1.37	1530714344.5	37.274815	-122.079173	0.35	90.00	8000	298	-135	343	07:25:50	1.729777e+06
ICAO: ab0158 (0)	Flight ID: Other	07/04/18 07:27:22	0.24	1.07	1530714442.8	37.274219	-122.083591	0.37	90.26	6283	273	-1163	339	07:27:27	4.004775e+06
ICAO: ac8364 (0)	Flight ID: Other	07/04/18 07:38:33	0.13	1.36	1530715113.8	37.276644	-122.079333	0.31	90.51	7929	297	-768	344	07:38:40	1.766729e+06
ICAO: ab856c (0)	Flight ID: ASA1949	07/04/18 07:39:53	0.29	1.37	1530715193.2	37.278809	-122.080955	-0.28	82.04	7850	266	-405	344	07:39:59	1.924963e+06
ICAO: a73a47 (0)	Flight ID: JBU1136	07/04/18 07:45:23	0.24	1.37	1530715523.4	37.278241	-122.080257	-0.21	83.12	7875	290	-815	344	07:45:29	1.784381e+06
ICAO: aad3a0 (2)	Flight ID: SKW5416	07/04/18 11:23:12	0.09	1.42	1530728592.5	37.276042	-122.07979	0.33	90.35	8261	287	-2024	343	11:23:19	1.582454e+06
ICAO: aad3a0 (4)	Flight ID: SKW5697	07/04/18 19:23:58	3.42	3.71	1530757438.0	37.232713	-122.112261	-0.25	87.05	8350	247	-1264	295	19:24:15	1.426359e+04
ICAO: a6f96c (0)	Flight ID: Other	07/04/18 08:00:59	1.74	1.94	1530716459.7	37.251613	-122.067002	-0.29	77.53	5325	270	-1115	107	08:01:08	5.105905e+05
ICAO: a6f96c (0)	Flight ID: Other	07/04/18 08:01:19	2.13	2.27	1530716479.1	37.265904	-122.042283	0.00	90.00	4950	261	-1280	86	08:01:29	2.579570e+05
ICAO: a954e4 (0)	Flight ID: N700DL	07/04/18 08:18:24	0.77	1.04	1530717504.5	37.277802	-122.065761	-0.21	86.25	4450	122	64	166	08:18:29	9.718962e+06
ICAO: a954e4 (1)	Flight ID: N700DL	07/04/18 09:23:35	2.82	2.87	1530721416.0	37.285382	-122.02984	0.02	90.16	3748	137	-770	346	09:23:49	1.390958e+05
ICAO: ab81b5 (1)	Flight ID: ASA1273	07/04/18 15:55:11	0.02	1.34	1530744911.9	37.274789	-122.079725	0.11	90.03	7872	246	-413	344	15:55:18	2.218758e+06
ICAO: a19ecf (1)	Flight ID: SKW5966	07/04/18 10:35:28	3.20	3.45	1530725728.8	37.28121	-122.137046	0.10	90.12	7478	255	-1390	7	10:35:44	2.340333e+04
ICAO: a2e621 (0)	Flight ID: ASA1923	07/04/18 08:25:12	0.01	1.36	1530717912.5	37.274963	-122.079295	0.12	90.05	7944	258	-46	344	08:25:18	2.053728e+06
ICAO: a2e621 (2)	Flight ID: ASA1285	07/04/18 19:15:59	0.03	1.34	1530756959.6	37.275228	-122.079351	0.26	90.13	7874	292	-595	344	19:16:05	1.867923e+06
ICAO: c03f02 (1)	Flight ID: WJA1776	07/04/18 21:09:01	4.66	4.76	1530763741.3	37.329076	-122.129755	-2.12	72.78	5925	216	208	87	21:09:23	2.130085e+03
ICAO: aa8864 (4)	Flight ID: Other	07/04/18 18:34:13	0.05	1.11	1530754453.7	37.27543	-122.07898	0.34	90.23	6619	297	-1205	343	18:34:18	3.338797e+06
ICAO: a577d4 (0)	Flight ID: Other	07/04/18 08:36:20	0.89	1.08	1530718580.4	37.267181	-122.092276	0.04	90.18	4068	184	-203	93	08:36:25	5.755350e+06
ICAO: ab4c9f (0)	Flight ID: Other	07/04/18 08:38:01	0.03	1.33	1530718681.8	37.275186	-122.079552	0.02	90.13	7797	302	-515	344	08:38:08	1.874020e+06
ICAO: ~2b0d2e (0)	Flight ID: Other	07/04/18 08:36:21	2.59	2.67	1530718581.4	37.307755	-122.101931	0.00	90.00	4175	229	-768	23	08:36:33	1.250752e+05
ICAO: ~2b076c (0)	Flight ID: Other	07/04/18 08:37:53	0.07	1.38	1530718673.2	37.275747	-122.079524	0.01	90.27	8048	1163	-580	343	08:37:59	4.318937e+05
ICAO: a722db (1)	Flight ID: SWA1562	07/04/18 17:22:03	0.27	1.20	1530750123.9	37.278431	-122.077459	0.05	90.00	6975	255	61	112	17:22:09	3.028860e+06
ICAO: aa1568 (1)	Flight ID: EJA749	07/04/18 17:18:39	1.40	1.79	1530749919.1	37.29154	-122.065121	0.50	90.21	6663	265	-1280	122	17:18:47	7.327821e+05
ICAO: abf396 (0)	Flight ID: SWA1958	07/04/18 08:44:16	0.06	1.35	1530719056.8	37.275655	-122.079514	0.24	90.25	7922	289	-1453	343	08:44:23	1.843047e+06
ICAO: a69d5d (4)	Flight ID: ASA1599	07/04/18 20:11:59	4.07	4.26	1530760319.5	37.277822	-122.153221	-0.27	87.02	7400	252	-1379	6	20:12:19	4.831753e+03
ICAO: a79e17 (0)	Flight ID: HAL43	07/04/18 08:48:04	1.18	2.18	1530719284.6	37.257851	-122.081989	-0.14	86.08	10450	299	1664	277	08:48:14	2.732659e+05
ICAO: a5d570 (1)	Flight ID: UAL1687	07/04/18 15:08:28	0.15	1.27	1530742108.5	37.27498	-122.082044	0.26	90.29	7411	256	-1352	340	15:08:34	2.589024e+06
ICAO: c01b6c (1)	Flight ID: Other	07/04/18 22:40:57	4.03	4.11	1530769257.4	37.328531	-122.050651	0.17	90.05	4914	239	-1438	107	22:41:16	6.807343e+03
ICAO: a1f2b1 (0)	Flight ID: UAL862	07/04/18 08:56:55	4.97	5.10	1530719815.2	37.290856	-122.167372	0.00	90.00	6950	231	0	194	08:57:19	1.046547e+03
ICAO: aacd50 (0)	Flight ID: UAL501	07/04/18 08:53:25	3.48	3.78	1530719605.1	37.229095	-122.106025	-0.50	84.74	8500	246	-1344	289	08:53:42	1.267553e+04
ICAO: aacd50 (2)	Flight ID: UAL420	07/04/18 14:59:18	0.42	1.40	1530741558.9	37.28064	-122.081598	-0.39	77.07	7825	283	-1447	344	14:59:25	1.683312e+06
ICAO: a4c6b3 (0)	Flight ID: ASA149	07/04/18 08:59:37	3.68	4.30	1530719977.2	37.325175	-122.101018	0.29	89.90	12550	378	2130	252	08:59:57	2.948824e+03
ICAO: a4c6b3 (1)	Flight ID: ASA856	07/04/18 19:58:39	4.70	4.79	1530759519.3	37.207109	-122.088019	-0.42	86.00	5775	278	-877	100	19:59:01	1.561184e+03
ICAO: ~2b0f6c (1)	Flight ID: Other	07/04/18 15:08:28	1.84	2.04	1530742108.7	37.248308	-122.082407	-0.25	85.59	5525	217	-976	103	15:08:38	5.025052e+05
ICAO: a09322 (2)	Flight ID: SKW5363	07/04/18 18:53:48	0.07	1.36	1530755628.9	37.275762	-122.079586	0.16	90.29	7934	272	-1159	344	18:53:55	1.947302e+06
ICAO: a12378 (2)	Flight ID: Other	07/04/18 14:36:09	0.11	1.34	1530740169.1	37.275984	-122.077874	0.14	90.21	7806	272	-973	344	14:36:15	2.044600e+06
ICAO: acd299 (1)	Flight ID: ASA1961	07/04/18 12:51:43	0.07	1.34	1530733903.7	37.275773	-122.079183	-0.01	89.90	7850	278	-632	343	12:51:49	1.978890e+06
ICAO: acd299 (3)	Flight ID: ASA1967	07/04/18 18:25:30	0.04	1.34	1530753930.0	37.275307	-122.079202	0.44	90.14	7870	289	-546	344	18:25:36	1.891865e+06
ICAO: a07cd8 (0)	Flight ID: SKW5945	07/04/18 09:33:00	4.38	4.48	1530721980.4	37.310729	-122.013589	0.49	90.20	5581	236	-2531	328	09:33:21	3.389050e+03
ICAO: a07cd8 (1)	Flight ID: SKW5945	07/04/18 10:48:23	1.51	1.80	1530726503.5	37.292864	-122.094664	0.40	89.97	5935	226	13	237	10:48:31	8.365650e+05
ICAO: a24dc1 (3)	Flight ID: ASA348	07/04/18 22:37:33	1.01	1.32	1530769053.6	37.260318	-122.076317	-0.33	77.41	5250	273	-1579	101	22:37:39	2.119233e+06
ICAO: ~2b0641 (0)	Flight ID: Other	07/04/18 09:39:36	1.20	1.75	1530722376.1	37.291415	-122.085691	0.00	90.00	7500	1211	-1600	344	09:39:44	1.735002e+05
ICAO: a694dd (2)	Flight ID: JBU1936	07/04/18 13:18:23	1.65	2.01	1530735503.2	37.266245	-122.107318	-0.39	83.00	6806	247	-1059	349	13:18:32	4.816640e+05
