Closest approaches at SIDBY SFO Approach SE (lat: 37.450711, long: -122.144722, elevation: 25), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
SIDBY SFO Approach SE	52.8	42.3	49.7	46.3	57.9	9.2	6.2	4.6	3.8	3.1	2.5	1.3	1.1	0.7	0.5	0.4	0.3	9.3	6.0	5.0	4.5	3.7	2.8	12.0	7.9	5.8	5.0	4.0	3.6	14.0	9.7	6.7	5.3	4.3	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a6c6c8 (1)	Flight ID: ASA860	07/04/18 23:38:40	2.85	3.02	1530772720.6	37.485382	-122.172976	0.36	90.01	5235	237	-1422	54	23:38:54	5.952711e+04
ICAO: ab0b1f (1)	Flight ID: Other	07/04/18 09:05:41	4.03	4.10	1530720341.6	37.506393	-122.122889	-0.56	81.55	4125	232	-1424	277	09:06:00	7.077282e+03
ICAO: adabfe (0)	Flight ID: JBU1415	07/04/18 00:04:04	4.50	4.58	1530687844.1	37.509531	-122.109331	0.19	90.00	4377	241	-1536	296	00:04:25	2.728391e+03
ICAO: a7ef40 (0)	Flight ID: FDX1800	07/04/18 00:08:26	1.44	1.85	1530688106.9	37.43079	-122.136732	0.45	90.00	6105	244	-830	73	00:08:35	6.926500e+05
ICAO: a44544 (0)	Flight ID: UAL2132	07/04/18 00:12:33	4.48	4.54	1530688353.2	37.508237	-122.107066	0.07	90.00	4114	250	-1174	294	00:12:54	2.803735e+03
ICAO: a8856d (1)	Flight ID: UAL2093	07/04/18 09:02:25	4.46	4.52	1530720145.1	37.507736	-122.106551	-0.02	89.86	3925	220	64	299	09:02:46	3.328804e+03
ICAO: a44588 (1)	Flight ID: UAL2068	07/04/18 06:46:11	0.62	1.07	1530711971.4	37.458863	-122.149519	-0.13	83.86	4600	265	-2062	61	06:46:16	4.169491e+06
ICAO: a44588 (3)	Flight ID: UAL1118	07/04/18 20:10:49	0.05	0.93	1530760249.9	37.451368	-122.144921	-0.04	88.11	4950	284	-164	345	20:10:54	5.557435e+06
ICAO: abb19c (0)	Flight ID: SWA1646	07/04/18 00:22:23	4.47	4.55	1530688943.0	37.508488	-122.108081	-0.06	89.37	4475	246	-2071	296	00:22:44	2.835075e+03
ICAO: a56dcf (0)	Flight ID: UAL1729	07/04/18 00:28:53	1.93	3.07	1530689333.2	37.422729	-122.14325	-0.53	76.70	12625	416	2381	105	00:29:07	3.043095e+04
ICAO: a56dcf (1)	Flight ID: UAL2052	07/04/18 06:26:34	4.48	4.54	1530710794.9	37.508926	-122.108712	0.41	90.00	4029	229	-207	296	06:26:56	3.064702e+03
ICAO: aa2ba2 (1)	Flight ID: UAL587	07/04/18 18:47:36	1.34	1.57	1530755256.9	37.4534	-122.120459	-0.10	87.06	4325	244	-1518	359	18:47:44	1.301486e+06
ICAO: a7e62d (1)	Flight ID: NKS188	07/04/18 06:14:40	4.51	5.27	1530710080.9	37.410828	-122.209752	0.00	90.00	14450	398	4544	102	06:15:05	4.408616e+02
ICAO: a76f66 (0)	Flight ID: UAL2114	07/04/18 00:29:56	2.49	2.60	1530689396.4	37.482815	-122.124045	0.32	90.00	4025	225	-21	297	00:30:08	1.475464e+05
ICAO: 71bc23 (0)	Flight ID: AAR286	07/04/18 00:35:12	0.15	0.98	1530689712.8	37.452896	-122.145178	-0.13	84.22	5125	242	-1384	346	00:35:17	5.770981e+06
ICAO: adc5ff (0)	Flight ID: JBU333	07/04/18 00:38:54	0.93	1.25	1530689934.7	37.437425	-122.141458	0.10	90.01	4383	201	-1146	94	00:39:00	3.452345e+06
ICAO: ac81d2 (0)	Flight ID: AAL2280	07/04/18 00:39:03	4.51	4.57	1530689943.1	37.510955	-122.113157	-0.49	85.75	4150	223	-1370	297	00:39:24	2.960890e+03
ICAO: a4df56 (0)	Flight ID: ASA865	07/04/18 00:41:03	0.61	1.47	1530690063.7	37.459375	-122.142533	-0.48	74.97	7100	245	-1503	53	00:41:10	1.632662e+06
ICAO: a988f0 (0)	Flight ID: DAL435	07/04/18 00:46:18	0.20	0.81	1530690378.2	37.448174	-122.143093	0.49	90.01	4201	231	-832	71	00:46:22	9.605852e+06
ICAO: a05a25 (0)	Flight ID: UAL1584	07/04/18 00:45:46	4.49	4.58	1530690346.4	37.50963	-122.109991	0.29	90.00	4584	228	-1611	296	00:46:07	2.896638e+03
ICAO: acca19 (0)	Flight ID: JBU1715	07/04/18 00:49:12	4.45	4.52	1530690552.7	37.508441	-122.108858	-0.32	87.27	4300	195	-727	299	00:49:33	3.765048e+03
ICAO: acddbe (0)	Flight ID: ASA1941	07/04/18 00:50:25	0.82	1.12	1530690625.7	37.448062	-122.130109	0.17	90.00	4025	200	0	13	00:50:30	4.819214e+06
ICAO: 71be10 (0)	Flight ID: KAL213	07/04/18 01:10:24	0.05	0.97	1530691824.1	37.451462	-122.144742	-0.01	89.53	5125	230	-959	346	01:10:28	6.257456e+06
ICAO: a83782 (0)	Flight ID: UAL1197	07/04/18 01:17:56	0.90	2.67	1530692276.2	37.438494	-122.150184	0.19	90.00	13303	403	976	106	01:18:08	7.165582e+04
ICAO: a74665 (0)	Flight ID: UAL1526	07/04/18 01:28:57	4.50	4.58	1530692937.1	37.509763	-122.109938	0.25	90.00	4362	227	-1245	296	01:29:18	2.904164e+03
ICAO: a74665 (2)	Flight ID: UAL1584	07/04/18 20:20:09	1.18	1.38	1530760809.3	37.459841	-122.162834	-0.10	86.87	3850	230	-1357	30	20:20:15	2.163401e+06
ICAO: a69c03 (0)	Flight ID: FDX5084	07/04/18 02:31:56	3.45	4.44	1530696716.1	37.491257	-122.107953	0.00	90.00	14750	371	3008	141	02:32:16	2.319040e+03
ICAO: aa7e79 (0)	Flight ID: UAL225C	07/04/18 03:15:06	4.49	4.56	1530699306.5	37.51062	-122.113096	-0.51	85.92	4275	209	-1409	296	03:15:27	3.270146e+03
ICAO: aa8a09 (0)	Flight ID: Other	07/04/18 04:19:27	1.65	1.98	1530703167.6	37.428556	-122.133248	0.22	90.00	5792	261	-924	72	04:19:36	4.789645e+05
ICAO: aa8a09 (0)	Flight ID: Other	07/04/18 04:19:44	1.90	2.17	1530703184.2	37.434982	-122.116321	-1.11	66.32	5525	255	-882	70	04:19:54	3.281260e+05
