Closest approaches at Tevis Pl; PA (lat: 37.450204, long: -122.143786, elevation: 26), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
Tevis Pl; PA	52.6	42.2	49.8	46.2	57.6	8.5	6.1	4.6	3.6	2.9	2.5	0.7	0.7	0.5	0.3	0.2	0.2	9.3	6.4	5.0	4.3	3.4	3.0	10.7	8.2	6.2	4.7	3.9	3.4	13.3	9.0	6.7	5.0	4.0	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a6c6c8 (1)	Flight ID: ASA860	07/04/18 23:38:40	2.91	3.07	1530772720.8	37.485566	-122.172633	0.39	90.01	5227	237	-1461	54	23:38:55	5.334975e+04
ICAO: ab0b1f (1)	Flight ID: Other	07/04/18 09:05:41	4.05	4.12	1530720341.6	37.506393	-122.122889	-0.62	80.72	4125	232	-1439	276	09:06:00	6.832219e+03
ICAO: adabfe (0)	Flight ID: JBU1415	07/04/18 00:04:03	4.51	4.59	1530687843.3	37.509139	-122.108327	0.11	90.00	4398	241	-1536	295	00:04:24	2.680098e+03
ICAO: a7ef40 (0)	Flight ID: FDX1800	07/04/18 00:08:27	1.40	1.81	1530688107.4	37.430952	-122.136049	0.49	90.00	6101	244	-803	73	00:08:35	7.559555e+05
ICAO: a44544 (0)	Flight ID: UAL2132	07/04/18 00:12:32	4.48	4.55	1530688352.5	37.507874	-122.1062	-0.01	89.90	4125	250	-1222	294	00:12:53	2.763072e+03
ICAO: a8856d (1)	Flight ID: UAL2093	07/04/18 09:02:25	4.47	4.53	1530720145.1	37.507736	-122.106551	-0.11	89.08	3925	220	64	299	09:02:46	3.277777e+03
ICAO: a44588 (1)	Flight ID: UAL2068	07/04/18 06:46:11	0.68	1.10	1530711971.4	37.458863	-122.149519	-0.11	84.79	4600	265	-2068	61	06:46:16	3.829973e+06
ICAO: a44588 (3)	Flight ID: UAL1118	07/04/18 20:10:49	0.10	0.94	1530760249.9	37.451368	-122.144921	-0.09	85.09	4950	284	-120	345	20:10:54	5.492525e+06
ICAO: abb19c (0)	Flight ID: SWA1646	07/04/18 00:22:23	4.48	4.56	1530688943.0	37.508488	-122.108081	-0.14	88.60	4475	246	-2100	296	00:22:44	2.790248e+03
ICAO: a56dcf (0)	Flight ID: UAL1729	07/04/18 00:28:53	1.90	3.05	1530689333.2	37.422729	-122.14325	-0.49	77.72	12625	416	2364	105	00:29:07	3.187610e+04
ICAO: a56dcf (1)	Flight ID: UAL2052	07/04/18 06:26:34	4.49	4.55	1530710794.1	37.508531	-122.107705	0.33	90.00	4033	229	-191	296	06:26:55	3.014075e+03
